,class,length,Diam,height,whole,shu,Vis,shell,rings
45,1,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
46,0,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
47,1,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
48,1,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
49,0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7
50,1,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
51,1,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
52,0,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
53,1,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
54,1,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8
55,1,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
56,0,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
57,0,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
58,0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
59,1,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
60,0,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
61,0,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
62,1,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
63,0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
64,0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
65,1,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9
66,0,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10
67,0,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11
68,0,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
69,0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
70,1,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
71,0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16
72,1,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
73,1,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
74,0,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12
75,1,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
76,1,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
77,0,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
78,0,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12
79,1,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
80,1,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
81,1,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
82,0,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
83,1,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
84,1,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
85,1,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9
86,1,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
87,1,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
88,0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
89,1,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15
90,1,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
91,1,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10
92,1,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12
93,0,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12
94,0,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
95,0,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10
96,0,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
97,0,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
98,1,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
99,1,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
100,1,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
101,0,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11
102,0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
103,0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
104,1,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
105,0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
106,1,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
107,0,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
108,0,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
109,1,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
110,1,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
111,1,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
112,1,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
113,0,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
114,0,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
115,0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
116,0,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
117,1,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
118,0,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
119,1,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
120,0,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
121,0,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
122,1,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
123,1,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
124,1,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
125,0,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
126,1,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
127,1,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
128,0,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
129,0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10
130,0,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
131,0,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12
132,1,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
133,0,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13
134,1,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
135,0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
136,0,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
137,1,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
138,0,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13
139,1,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12
140,0,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
141,0,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16
142,1,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
143,0,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
144,0,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
145,1,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
146,0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
147,1,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
148,0,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
149,1,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8
150,0,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8
151,1,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
152,1,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
153,1,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
154,0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
155,0,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
156,0,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12
157,1,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
158,0,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
159,0,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
160,0,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
161,0,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9
162,1,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13
163,1,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
164,1,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
165,0,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10
166,1,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
167,0,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
168,1,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
169,1,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
170,1,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
171,0,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
172,1,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13
173,0,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12
174,0,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
175,1,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
176,0,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
177,0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
178,0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
179,1,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7
180,0,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
181,1,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
182,0,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
183,1,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
184,1,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
185,1,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
186,0,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
187,0,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
188,0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
189,0,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9
190,0,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
191,0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
192,0,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7
193,0,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
194,0,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15
195,1,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
196,1,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
197,1,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
198,1,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
199,1,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
200,0,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
201,0,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
202,1,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15
203,1,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15
204,1,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
205,1,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
206,0,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
207,0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
208,0,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
209,0,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
210,1,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
211,1,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6
212,0,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11
213,1,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14
214,1,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
215,1,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
216,0,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
217,0,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22
218,1,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16
219,1,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14
220,1,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
221,1,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13
222,1,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
223,0,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
224,1,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18
225,1,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20
226,0,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11
227,0,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
228,0,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
229,1,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
230,1,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14
231,0,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10
232,1,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
233,0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17
234,1,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
235,0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10
236,1,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17
237,0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12
238,1,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15
239,0,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19
240,1,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
241,1,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
242,1,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9
243,0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
244,0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13
245,1,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8
246,1,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
247,0,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
248,1,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13
249,1,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
250,1,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
251,0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21
252,1,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14
253,1,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19
254,0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
255,1,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23
256,0,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14
257,1,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10
258,0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
259,1,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11
260,1,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7
261,1,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12
262,1,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8
263,1,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
264,0,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
265,0,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16
266,1,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11
267,1,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14
268,1,0.59,0.45,0.185,1.283,0.473,0.276,0.425,16
269,1,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13
270,0,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
271,1,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14
272,0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14
273,1,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
274,0,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
275,0,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
276,1,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
277,0,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9
278,1,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14
279,0,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8
280,0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
281,1,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12
282,1,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9
283,1,0.635,0.515,0.17,1.275,0.509,0.286,0.34,16
284,1,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20
285,1,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
286,0,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
287,1,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17
288,0,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16
289,1,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
290,0,0.59,0.465,0.15,0.997,0.392,0.246,0.34,12
291,0,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20
292,0,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16
293,0,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12
294,1,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
295,1,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
296,0,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
297,1,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12
298,0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
299,0,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16
300,0,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16
301,0,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19
302,0,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14
303,1,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13
304,0,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20
305,1,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
306,0,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10
307,1,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15
308,0,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12
309,1,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
310,1,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10
311,1,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
312,1,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
313,1,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10
314,0,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
315,1,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
316,1,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
317,1,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14
318,1,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10
319,0,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10
320,0,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10
321,1,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
322,1,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12
323,1,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11
324,0,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
325,1,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9
326,0,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7
327,0,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10
328,0,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12
329,1,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8
330,1,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16
331,1,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
332,1,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8
333,1,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15
334,1,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,14
335,0,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11
336,1,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12
337,0,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14
338,0,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,15
339,0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
340,1,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20
341,0,0.63,0.5,0.155,1.005,0.367,0.199,0.36,16
342,1,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13
343,0,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14
344,0,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
345,1,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13
346,0,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18
347,1,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19
348,0,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21
349,0,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18
350,0,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
351,1,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20
352,1,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18
353,1,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22
354,1,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11
355,1,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9
356,1,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13
357,0,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19
358,0,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
359,0,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9
360,1,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13
361,1,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16
362,1,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12
363,0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18
364,1,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16
365,0,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,16
366,0,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
367,0,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11
368,0,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14
369,1,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11
370,0,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15
371,0,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11
372,1,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11
373,0,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,12
374,0,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12
375,1,0.655,0.53,0.195,1.388,0.567,0.2735,0.41,13
376,0,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17
377,1,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,21
378,0,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9
379,0,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10
380,0,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11
381,0,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,10
382,1,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17
383,0,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9
384,1,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17
385,1,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,21
386,1,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16
387,0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
388,1,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17
389,1,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15
390,0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19
391,1,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12
392,0,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,13
